family,nome,genus,specie
cince2,Basettino,Panurus,biarmicus
thrushesSmall,Pettirosso,Erithacus,rubecula
thrushesSmall,Usignolo,Luscinia,megarhynchos
thrushesSmall,Codirosso comune,Phoenicurus,phoenicurus
thrushesSmall,Culbianco,Oenanthe,oenanthe
thrushesBig,Merlo dal collare,Turdus,torquatus
thrushesBig,Codirossone,Monticola,saxatilis
silvidi,Beccafico,Sylvia,borin
silvidi,Sterpazzola,Sylvia,communis
silvidi,Bigiarella,Sylvia,curruca
silvidi,Occhiocotto,Sylvia,melanocephala
silvidi,Sterpazzolina,Sylvia,cantillans
silvidi,Magnanina,Sylvia,undata
Luì,Luì grosso,Phylloscopus,trochilus
Luì,Luì verde,Phylloscopus,sibilatrix
Luì,Luì bianco,Phylloscopus,bonelli
Luì,Luì forestiero,Phylloscopus,inornatus
silvidiMosche,Balia nera,Ficedula,hypoleuca
silvidiMosche,Balia dal collare,Ficedula,albicollis
silvidiMosche,Pigliamosche,Muscicapa,striata
creepers,Rampichino alpestre,Certhia,familiaris
creepers,Picchio muraiolo,Tichodroma,muraria
creepers,Torcicollo,Jynx,torquilla
shrikes,Averla piccola,Lanius,collurio
shrikes,Averla cenerina,Lanius,minor
starlings,Passero solitario,Monticola,solitarius
sparrows,Fringuello alpino,Montifringilla,nivalis
finches,Organetto,Acanthis,flammea 
finches,Verdone,Chloris,chloris
finches,Verzellino,Serinus,serinus
finches,Ciuffolotto,Pyrrhula,pyrrhula
finches,Frosone,Coccothraustes,coccothraustes
finches,Crociere,Loxia,curvirostra
buntings,Zigolo nero,Emberiza,cirlus
buntings,Zigolo muciatto,Emberiza,cia
buntings,Zigolo della Lapponia,Calcarius,lapponicus
buntings,Ortolano,Emberiza,hortulana
accentors,Sordone,Prunella,collaris
accentors,Merlo acquaiolo,Cinclus,cinclus
accentors,Upupa,Upupa,epops
accentors,Gruccione,Merops,apiaster
accentors,Ghiandaia marina,Coracias,garrulus 
pipits,Calandro,Anthus,campestris
pipits,Prispolone,Anthus,trivialis
pipits,Cutrettola,Motacilla,flava
rapaci_notturni,Civetta,Athene,noctua
rapaci_notturni,Civetta nana,Glaucidium,passerinum
rapaci_notturni,Civetta capogrosso,Aegolius,funereus
rapaci_notturni,Allocco,Strix,aluco
rapaci_notturni,Gufo comune,Asio,otus
rapaci_notturni,Gufo reale,Bubo,bubo
rapaci_notturni,Barbagianni,Tyto,alba
rapaci_notturni,Gufo di palude,Asio,flammeus
nel_canneto_in_primavera,Cannaiola,Acrocephalus,scirpaceus
nel_canneto_in_primavera,Cannaiola verdognola,Acrocephalus,palustris
nel_canneto_in_primavera,Cannareccione,Acrocephalus,arundinaceus
nel_canneto_in_primavera,Forapaglie comune,Acrocephalus,schoenobaenus
nel_canneto_in_primavera,Forapaglie castagnolo,Acrocephalus,melanopogon
nel_canneto_in_primavera,Forapaglie macchiettato,Locustella,naevia
nel_canneto_in_primavera,Salciaiola,Locustella,luscinioides
nel_canneto_in_primavera,Usignolo di fiume,Cettia,cetti
pianura_novarese_inverno,Allodola,Alauda,arvensi
pianura_novarese_inverno,Tottavilla,Lullula,arborea
pianura_novarese_inverno,Ballerina bianca,Motacilla,alba
pianura_novarese_inverno,Ballerina gialla,Motacilla,cinerea
pianura_novarese_inverno,Calandro maggiore,Anthus,richardi
pianura_novarese_inverno,Spioncello,Anthus,spinoletta
pianura_novarese_inverno,Pispola,Anthus,pratensis
pianura_novarese_inverno,Scricciolo,Troglodytes,troglodytes
pianura_novarese_inverno,Passera scopaiola,Prunella,modularis
pianura_novarese_inverno,Migliarino di palude,Emberiza,schoeniclus
pianura_novarese_inverno,Zigolo giallo,Emberiza,citrinella
pianura_novarese_inverno,Fringuello,Fringilla,coelebs
pianura_novarese_inverno,Peppola,Fringilla,montifringilla
pianura_novarese_inverno,Fanello,Linaria,cannabina
pianura_novarese_inverno,Lucherino,Spinus,spinus
pianura_novarese_inverno,Cardellino,Carduelis,carduelis
pianura_novarese_inverno,Passera europea,Passer,domesticus
pianura_novarese_inverno,Passera d Italia,Passer,italiae
pianura_novarese_inverno,Passera mattugia,Passer,montanus
pianura_novarese_inverno,Storno comune,Sturnus,vulgaris
pianura_novarese_inverno,Cornacchia grigia,Corvus,cornix
pianura_novarese_inverno,Gazza,pica,pica
pianura_novarese_inverno,Ghiandaia,Garrulus,glandarius
pianura_novarese_inverno,Taccola,Coloeus,monedula
pianura_novarese_inverno,Averla maggiore,Lanius,excubitor
pianura_novarese_inverno,Picchio muratore,Sitta,europaea
pianura_novarese_inverno,Rampichino comune,Certhia,brachydactyla
pianura_novarese_inverno,Regolo,Regulus,regulus
pianura_novarese_inverno,Fiorrancino,Regulus,ignicapilla
pianura_novarese_inverno,Luì piccolo,Phylloscopus,collybita
pianura_novarese_inverno,Capinera,Sylvia,atricapilla
pianura_novarese_inverno,Tordo bottaccio,Turdus,philomelos
pianura_novarese_inverno,Tordo sassello,Turdus,iliacus
pianura_novarese_inverno,Tordela,Turdus,viscivorus
pianura_novarese_inverno,Cesena,Turdus,pilaris
pianura_novarese_inverno,Merlo,Turdus,merula
pianura_novarese_inverno,Codirosso spazzacamino,Phoenicurus,ochruros
pianura_novarese_inverno,Saltimpalo,Saxicola,torquatus 
pianura_novarese_inverno,Picchio verde,Picus,viridis
pianura_novarese_inverno,Picchio rosso maggiore,Dendrocopos,major
pianura_novarese_inverno,Picchio nero,Dryocopus,martius
pianura_novarese_inverno,Picchio rosso minore,Dryobates,minor
pianura_novarese_inverno,Cinciarella,Cyanistes,caeruleus
pianura_novarese_inverno,Cinciallegra,Parus,major
pianura_novarese_inverno,Cincia mora,Periparus,ater
pianura_novarese_inverno,Cincia bigia,Poecile,palustris
pianura_novarese_inverno,Codibugnolo,Aegithalos,caudatus
pianura_novarese_inverno,Pendolino,Remiz,pendulinus
modica_maggio,Passera lagia,Petronia,petronia
modica_maggio,Averla capirossa,Lanius,senator
modica_maggio,Tottavilla,Lullula,arborea
modica_maggio,Strillozzo,Emberiza,calandra
modica_maggio,Cinciarella,Cyanistes,caeruleus
modica_maggio,Upupa,Upupa,epops
modica_maggio,Occhione,Burhinus,oedicnemus
modica_maggio,Storno nero,Sturnus,unicolor
modica_maggio,Fringuello,Fringilla,coelebs
modica_maggio,Cappellaccia,Galerida,cristata
modica_maggio,Beccamoschino,Cisticola,juncidis
modica_maggio,Passero solitario,Monticola,solitarius
modica_maggio,Usignolo di fiume,Cettia,cetti
modica_maggio,Capinera,Sylvia,atricapilla
modica_maggio,Pigliamosche pettirosso,Ficedula,parva
modica_maggio,Gruccione,Merops,apiaster
modica_maggio,Pendolino,Remiz,pendulinus
modica_maggio,Sterpazzolina,Sylvia,cantillans
modica_maggio,Canapino maggiore,Hippolais,icterina
